Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Secure System	Suspended	184 K	38,124 K	56		
Registry		10,440 K	47,304 K	108		
System Idle Process	27.92	60 K	8 K	0		
System	3.45	192 K	96 K	4		
 Interrupts	< 0.01	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,068 K	940 K	392		
 Memory Compression	< 0.01	8,436 K	1,113,136 K	3364		
csrss.exe		2,528 K	3,472 K	632		
wininit.exe		1,408 K	3,592 K	716		
 services.exe	< 0.01	6,908 K	9,952 K	832		
  svchost.exe	< 0.01	25,060 K	66,188 K	1012	Host Process for Windows Services	Microsoft Corporation
   unsecapp.exe		1,900 K	5,524 K	3192		
   WmiPrvSE.exe		12,448 K	15,104 K	3488		
   unsecapp.exe		1,868 K	6,476 K	7892		
   StartMenuExperienceHost.exe		33,244 K	59,340 K	8552		
   RuntimeBroker.exe		9,604 K	21,652 K	8680	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		42,356 K	43,452 K	9428	Runtime Broker	Microsoft Corporation
   Cortana.exe	Suspended	26,096 K	5,392 K	11948	Cortana	Microsoft Corporation
   RuntimeBroker.exe	< 0.01	4,488 K	9,132 K	2400	Runtime Broker	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	64,128 K	58,688 K	14572	Windows Shell Experience Host	Microsoft Corporation
   RuntimeBroker.exe		9,980 K	28,652 K	15044	Runtime Broker	Microsoft Corporation
   SystemSettingsBroker.exe		9,404 K	18,632 K	14740	System Settings Broker	Microsoft Corporation
   TextInputHost.exe		15,340 K	20,552 K	5720		Microsoft Corporation
   dllhost.exe		4,108 K	26,244 K	6484	COM Surrogate	Microsoft Corporation
   AdobeNotificationClient.exe	Suspended	11,900 K	10,268 K	4804	Adobe Notification Client	Adobe Inc.
   PhoneExperienceHost.exe		75,716 K	47,836 K	13220	PhoneExperienceHost	Microsoft Corporation
   RuntimeBroker.exe		2,176 K	5,944 K	10564	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		2,892 K	11,248 K	7724	Runtime Broker	Microsoft Corporation
   ApplicationFrameHost.exe		9,880 K	24,544 K	12888	Application Frame Host	Microsoft Corporation
   UserOOBEBroker.exe		2,140 K	6,524 K	3260	User OOBE Broker	Microsoft Corporation
   Calculator.exe	Suspended	22,988 K	1,968 K	10896		
   RuntimeBroker.exe		1,684 K	4,684 K	7276	Runtime Broker	Microsoft Corporation
   LockApp.exe	Suspended	17,636 K	32,468 K	3020	LockApp.exe	Microsoft Corporation
   RuntimeBroker.exe		12,076 K	31,136 K	12796	Runtime Broker	Microsoft Corporation
   SearchApp.exe	Suspended	185,320 K	82,272 K	19912	Search application	Microsoft Corporation
   FileCoAuth.exe	< 0.01	7,632 K	28,856 K	13948	Microsoft OneDriveFile Co-Authoring Executable	Microsoft Corporation
   RuntimeBroker.exe		10,552 K	30,276 K	14452	Runtime Broker	Microsoft Corporation
   MoUsoCoreWorker.exe		43,904 K	57,672 K	18040		
   Microsoft.Photos.exe	Suspended	55,872 K	9,808 K	18064		
